Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sun,9/12/10,,Nice,2–1,Bordeaux,,Allianz Riviera,Alexandre Castro,Match Report,
,,,,,,,,,,,
6,Sat,9/18/10,,Nancy,0–2,Brest,,Stade Marcel Picot,Damien Ledentu,Match Report,
6,Sat,9/18/10,,Monaco,0–0,Toulouse,,Stade Louis II,Fredy Fautrel,Match Report,
6,Sat,9/18/10,,Valenciennes,1–1,Lens,,Stade Nungesser,Philippe Malige,Match Report,
6,Sat,9/18/10,,Lorient,0–1,Caen,,Stade Yves Allainmat,Nicolas Rainville,Match Report,
6,Sat,9/18/10,,Saint-Étienne,3–0,Montpellier,,Stade Geoffroy,Hervé Piccirillo,Match Report,
6,Sat,9/18/10,,Sochaux,4–0,Nice,,Stade Bonal,Pascal Viléo,Match Report,
6,Sat,9/18/10,,Arles-Avignon,0–3,Marseille,,Parc des Sports,Saïd Ennjimi,Match Report,
6,Sun,9/19/10,,Bordeaux,2–0,Lyon,,Stade Chaban,Lionel Jaffredo,Match Report,
6,Sun,9/19/10,,Paris S-G,0–0,Rennes,,Parc des Princes,Clément Turpin,Match Report,
6,Sun,9/19/10,,Lille,1–0,Auxerre,,Stadium Lille Métropole,Ruddy Buquet,Match Report,
,,,,,,,,,,,
7,Sat,9/25/10,,Nice,1–2,Rennes,,Allianz Riviera,Stéphane Lannoy,Match Report,
7,Sat,9/25/10,,Lyon,0–1,Saint-Étienne,,Stade Municipal de Gerland,Antony Gautier,Match Report,
7,Sat,9/25/10,,Caen,0–0,Bordeaux,,Stade Michel d'Ornano,Philippe Kalt,Match Report,
7,Sat,9/25/10,,Marseille,2–1,Sochaux,,Stade Vélodrome,Laurent Duhamel,Match Report,
7,Sat,9/25/10,,Auxerre,2–2,Nancy,,Stade Abbé Deschamps,Bartolomeu Varela,Match Report,
7,Sat,9/25/10,,Montpellier,3–1,Arles-Avignon,,Stade de la Mosson et du Mondial 98,Alexandre Castro,Match Report,
7,Sat,9/25/10,,Lorient,2–1,Monaco,,Stade Yves Allainmat,Wilfried Bien,Match Report,
7,Sun,9/26/10,,Toulouse,1–1,Lille,,Stadium,Stéphane Bré,Match Report,
7,Sun,9/26/10,,Lens,0–2,Paris S-G,,Stade Bollaert,Bruno Coué,Match Report,
7,Sun,9/26/10,,Brest,1–0,Valenciennes,,Stade Francis,Olivier Thual,Match Report,
,,,,,,,,,,,
8,Sat,10/2/10,,Valenciennes,2–1,Caen,,Stade Nungesser,Pascal Viléo,Match Report,
8,Sat,10/2/10,,Monaco,0–1,Brest,,Stade Louis II,Sébastien Moreira,Match Report,
8,Sat,10/2/10,,Bordeaux,1–0,Lorient,,Stade Chaban,Philippe Malige,Match Report,
8,Sat,10/2/10,,Nancy,2–3,Lyon,,Stade Marcel Picot,Saïd Ennjimi,Match Report,
8,Sat,10/2/10,,Saint-Étienne,1–1,Marseille,,Stade Geoffroy,Stéphane Bré,Match Report,
8,Sat,10/2/10,,Arles-Avignon,0–4,Auxerre,,Parc des Sports,Stéphane Lannoy,Match Report,
8,Sat,10/2/10,,Sochaux,3–0,Lens,,Stade Bonal,Nicolas Rainville,Match Report,
8,Sun,10/3/10,,Lille,3–1,Montpellier,,Stadium Lille Métropole,Clément Turpin,Match Report,
8,Sun,10/3/10,,Rennes,3–1,Toulouse,,ROAZHON PARK,Ruddy Buquet,Match Report,
8,Sun,10/3/10,,Paris S-G,0–0,Nice,,Parc des Princes,Damien Ledentu,Match Report,
,,,,,,,,,,,
9,Sat,10/16/10,,Montpellier,2–0,Sochaux,,Stade de la Mosson et du Mondial 98,Bruno Coué,Match Report,
9,Sat,10/16/10,,Auxerre,0–1,Bordeaux,,Stade Abbé Deschamps,Wilfried Bien,Match Report,
9,Sat,10/16/10,,Toulouse,0–2,Paris S-G,,Stadium,Lionel Jaffredo,Match Report,
9,Sat,10/16/10,,Marseille,1–0,Nancy,,Stade Vélodrome,Philippe Malige,Match Report,
9,Sat,10/16/10,,Caen,0–0,Monaco,,Stade Michel d'Ornano,Bartolomeu Varela,Match Report,
9,Sat,10/16/10,,Brest,0–0,Arles-Avignon,,Stade Francis,Tony Chapron,Match Report,
9,Sun,10/17/10,,Lens,0–0,Rennes,,Stade Bollaert,Alexandre Castro,Match Report,
9,Sun,10/17/10,,Lyon,3–1,Lille,,Stade Municipal de Gerland,Fredy Fautrel,Match Report,
9,Sun,10/17/10,,Nice,2–1,Saint-Étienne,,Allianz Riviera,Olivier Thual,Match Report,
9,Sun,10/17/10,,Lorient,2–1,Valenciennes,,Stade Yves Allainmat,Jean-Charles Cailleux,Match Report,
,,,,,,,,,,,
10,Sat,10/23/10,,Rennes,0–1,Montpellier,,ROAZHON PARK,Sébastien Moreira,Match Report,
10,Sat,10/23/10,,Saint-Étienne,1–1,Caen,,Stade Geoffroy,Ruddy Buquet,Match Report,
10,Sat,10/23/10,,Sochaux,1–3,Toulouse,,Stade Bonal,Antony Gautier,Match Report,
10,Sat,10/23/10,,Lens,1–0,Nice,,Stade Bollaert,Stéphane Bré,Match Report,
10,Sat,10/23/10,,Bordeaux,0–2,Brest,,Stade Chaban,Clément Turpin,Match Report,
10,Sat,10/23/10,,Monaco,0–2,Valenciennes,,Stade Louis II,Alain Hamer,Match Report,
10,Sat,10/23/10,,Nancy,1–0,Lorient,,Stade Marcel Picot,Wilfried Bien,Match Report,
10,Sun,10/24/10,,Paris S-G,2–3,Auxerre,,Parc des Princes,Laurent Duhamel,Match Report,
10,Sun,10/24/10,,Lille,1–3,Marseille,,Stadium Lille Métropole,Hervé Piccirillo,Match Report,
10,Sun,10/24/10,,Arles-Avignon,1–1,Lyon,,Parc des Sports,Pascal Viléo,Match Report,
,,,,,,,,,,,
11,Sat,10/30/10,,Brest,2–0,Saint-Étienne,,Stade Francis,Bruno Coué,Match Report,
11,Sat,10/30/10,,Toulouse,1–1,Lens,,Stadium,Bartolomeu Varela,Match Report,
11,Sat,10/30/10,,Lorient,2–0,Arles-Avignon,,Stade Yves Allainmat,Damien Ledentu,Match Report,
11,Sat,10/30/10,,Lyon,2–1,Sochaux,,Stade Municipal de Gerland,Philippe Kalt,Match Report,
11,Sat,10/30/10,,Auxerre,2–0,Nice,,Stade Abbé Deschamps,Sébastien Moreira,Match Report,
11,Sat,10/30/10,,Caen,2–3,Nancy,,Stade Michel d'Ornano,Lionel Jaffredo,Match Report,
11,Sun,10/31/10,,Valenciennes,1–1,Lille,,Stade Nungesser,Wilfried Bien,Match Report,
11,Sun,10/31/10,,Montpellier,1–1,Paris S-G,,Stade de la Mosson et du Mondial 98,Saïd Ennjimi,Match Report,
11,Tue,11/2/10,,Monaco,2–2,Bordeaux,,Stade Louis II,Stéphane Lannoy,Match Report,
,,,,,,,,,,,
12,Sat,11/6/10,,Arles-Avignon,3–2,Caen,,Parc des Sports,Jean-Charles Cailleux,Match Report,
12,Sat,11/6/10,,Sochaux,1–1,Auxerre,,Stade Bonal,Olivier Thual,Match Report,
12,Sat,11/6/10,,Rennes,1–1,Lyon,,ROAZHON PARK,Laurent Duhamel,Match Report,
12,Sat,11/6/10,,Saint-Étienne,1–2,Lorient,,Stade Geoffroy,Hervé Piccirillo,Match Report,
12,Sat,11/6/10,,Bordeaux,1–1,Valenciennes,,Stade Chaban,Damien Ledentu,Match Report,
12,Sun,11/7/10,,Nice,2–0,Toulouse,,Allianz Riviera,Philippe Malige,Match Report,
12,Sun,11/7/10,,Lille,3–1,Brest,,Stadium Lille Métropole,Philippe Kalt,Match Report,
12,Sun,11/7/10,,Paris S-G,2–1,Marseille,,Parc des Princes,Stéphane Lannoy,Match Report,
12,Sun,11/7/10,,Nancy,0–4,Monaco,,Stade Marcel Picot,Antony Gautier,Match Report,
12,Sun,11/7/10,,Lens,2–0,Montpellier,,Stade Bollaert,Lionel Jaffredo,Match Report,
,,,,,,,,,,,
13,Sat,11/13/10,,Caen,2–5,Lille,,Stade Michel d'Ornano,Bruno Coué,Match Report,
13,Sat,11/13/10,,Brest,1–1,Sochaux,,Stade Francis,Hervé Piccirillo,Match Report,
13,Sat,11/13/10,,Montpellier,1–0,Toulouse,,Stade de la Mosson et du Mondial 98,Tony Chapron,Match Report,
13,Sat,11/13/10,,Bordeaux,2–1,Nancy,,Stade Chaban,Bartolomeu Varela,Match Report,
13,Sat,11/13/10,,Monaco,0–0,Arles-Avignon,,Stade Louis II,Ruddy Buquet,Match Report,
13,Sat,11/13/10,,Marseille,1–1,Lens,,Stade Vélodrome,Pascal Viléo,Match Report,
13,Sun,11/14/10,,Lorient,1–1,Paris S-G,,Stade Yves Allainmat,Alexandre Castro,Match Report,
13,Sun,11/14/10,,Lyon,1–0,Nice,,Stade Municipal de Gerland,Lionel Jaffredo,Match Report,
13,Sun,11/14/10,,Auxerre,2–1,Rennes,,Stade Abbé Deschamps,Saïd Ennjimi,Match Report,
,,,,,,,,,,,
14,Sat,11/20/10,,Nancy,2–0,Valenciennes,,Stade Marcel Picot,Sébastien Moreira,Match Report,
14,Sat,11/20/10,,Toulouse,0–1,Marseille,,Stadium,Laurent Duhamel,Match Report,
14,Sat,11/20/10,,Nice,0–1,Montpellier,,Allianz Riviera,Stéphane Lannoy,Match Report,
14,Sat,11/20/10,,Paris S-G,2–1,Caen,,Parc des Princes,Clément Turpin,Match Report,
14,Sat,11/20/10,,Rennes,2–1,Brest,,ROAZHON PARK,Antony Gautier,Match Report,
14,Sat,11/20/10,,Sochaux,2–0,Lorient,,Stade Bonal,Jean-Charles Cailleux,Match Report,
14,Sat,11/20/10,,Saint-Étienne,1–1,Auxerre,,Stade Geoffroy,Philippe Malige,Match Report,
14,Sun,11/21/10,,Lens,1–3,Lyon,,Stade Bollaert,Olivier Thual,Match Report,
14,Sun,11/21/10,,Lille,2–1,Monaco,,Stadium Lille Métropole,Stéphane Bré,Match Report,
14,Sun,11/21/10,,Arles-Avignon,2–4,Bordeaux,,Parc des Sports,Fredy Fautrel,Match Report,
,,,,,,,,,,,
15,Sat,11/27/10,,Monaco,1–1,Nice,,Stade Louis II,Tony Chapron,Match Report,
15,Sat,11/27/10,,Nancy,1–1,Saint-Étienne,,Stade Marcel Picot,Bruno Coué,Match Report,
15,Sat,11/27/10,,Lorient,2–0,Rennes,,Stade Yves Allainmat,Philippe Malige,Match Report,
15,Sat,11/27/10,,Bordeaux,1–1,Lille,,Stade Chaban,Hervé Piccirillo,Match Report,
15,Sat,11/27/10,,Marseille,4–0,Montpellier,,Stade Vélodrome,Alexandre Castro,Match Report,
15,Sat,11/27/10,,Valenciennes,3–0,Arles-Avignon,,Stade Nungesser,Saïd Ennjimi,Match Report,
15,Sun,11/28/10,,Lyon,2–2,Paris S-G,,Stade Municipal de Gerland,Fredy Fautrel,Match Report,
15,Sun,11/28/10,,Auxerre,1–2,Toulouse,,Stade Abbé Deschamps,Pascal Viléo,Match Report,
15,Sun,11/28/10,,Caen,0–3,Sochaux,,Stade Michel d'Ornano,Wilfried Bien,Match Report,
15,Tue,11/30/10,,Brest,4–1,Lens,,Stade Francis,Damien Ledentu,Match Report,
,,,,,,,,,,,
11,Wed,12/1/10,,Marseille,0–0,Rennes,,Stade Vélodrome,Ruddy Buquet,Match Report,
,,,,,,,,,,,
13,Wed,12/1/10,,Valenciennes,1–1,Saint-Étienne,,Stade Nungesser,Philippe Kalt,Match Report,
,,,,,,,,,,,
16,Sat,12/4/10,,Montpellier,1–2,Lyon,,Stade de la Mosson et du Mondial 98,Stéphane Bré,Match Report,
16,Sat,12/4/10,,Arles-Avignon,1–1,Nancy,,Parc des Sports,Lionel Jaffredo,Match Report,
16,Sat,12/4/10,,Rennes,1–0,Monaco,,ROAZHON PARK,Olivier Thual,Match Report,
16,Sat,12/4/10,,Sochaux,2–1,Valenciennes,,Stade Bonal,Philippe Malige,Match Report,
16,Sat,12/4/10,,Toulouse,1–0,Caen,,Stadium,Stéphane Lannoy,Match Report,
16,Sat,12/4/10,,Lens,1–1,Auxerre,,Stade Bollaert,Sébastien Moreira,Match Report,
16,Sun,12/5/10,,Paris S-G,3–1,Brest,,Parc des Princes,Laurent Duhamel,Match Report,
16,Sun,12/5/10,,Saint-Étienne,2–2,Bordeaux,,Stade Geoffroy,Antony Gautier,Match Report,
16,Sun,12/5/10,,Lille,6–3,Lorient,,Stadium Lille Métropole,Clément Turpin,Match Report,
16,Sun,12/5/10,,Nice,1–0,Marseille,,Allianz Riviera,Saïd Ennjimi,Match Report,
,,,,,,,,,,,
17,Sat,12/11/10,,Nancy,1–0,Sochaux,,Stade Marcel Picot,Pascal Viléo,Match Report,
