Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,10/2/10,,Freiburg,3–2,Köln,,,Jochen Drees,Match Report,
7,Sat,10/2/10,,Hamburger SV,2–1,Kaiserslautern,,,Guido Winkmann,Match Report,
7,Sat,10/2/10,,Mainz 05,4–2,Hoffenheim,,,Deniz Aytekin,Match Report,
7,Sat,10/2/10,,M'Gladbach,1–1,Wolfsburg,,,Christian Dingert,Match Report,
7,Sat,10/2/10,,Nürnberg,2–1,Schalke 04,,,Marco Fritz,Match Report,
7,Sun,10/3/10,,Leverkusen,2–2,Werder Bremen,,,Manuel Gräfe,Match Report,
7,Sun,10/3/10,,Dortmund,2–0,Bayern Munich,,,Florian Meyer,Match Report,
7,Sun,10/3/10,,Stuttgart,1–2,Eint Frankfurt,,,Felix Brych,Match Report,
,,,,,,,,,,,
8,Fri,10/15/10,,Köln,1–2,Dortmund,,,Günter Perl,Match Report,
8,Sat,10/16/10,,Werder Bremen,2–1,Freiburg,,,Babak Rafati,Match Report,
8,Sat,10/16/10,,Bayern Munich,3–0,Hannover 96,,,Marco Fritz,Match Report,
8,Sat,10/16/10,,Mainz 05,0–1,Hamburger SV,,,Felix Brych,Match Report,
8,Sat,10/16/10,,Schalke 04,2–2,Stuttgart,,,Florian Meyer,Match Report,
8,Sat,10/16/10,,St. Pauli,3–2,Nürnberg,,,Peter Gagelmann,Match Report,
8,Sat,10/16/10,,Wolfsburg,2–3,Leverkusen,,,Thorsten Kinhöfer,Match Report,
8,Sun,10/17/10,,Hoffenheim,3–2,M'Gladbach,,,Michael Weiner,Match Report,
8,Sun,10/17/10,,Kaiserslautern,0–3,Eint Frankfurt,,,Felix Zwayer,Match Report,
,,,,,,,,,,,
9,Fri,10/22/10,,Hamburger SV,0–0,Bayern Munich,,,Manuel Gräfe,Match Report,
9,Sat,10/23/10,,Hannover 96,2–1,Köln,,,Peter Sippel,Match Report,
9,Sat,10/23/10,,Eint Frankfurt,0–0,Schalke 04,,,Knut Kircher,Match Report,
9,Sat,10/23/10,,Nürnberg,2–1,Wolfsburg,,,Guido Winkmann,Match Report,
9,Sat,10/23/10,,M'Gladbach,1–4,Werder Bremen,,,Günter Perl,Match Report,
9,Sat,10/23/10,,Freiburg,2–1,Kaiserslautern,,,Deniz Aytekin,Match Report,
9,Sun,10/24/10,,Stuttgart,2–0,St. Pauli,,,Tobias Welz,Match Report,
9,Sun,10/24/10,,Dortmund,1–1,Hoffenheim,,,Wolfgang Stark,Match Report,
9,Sun,10/24/10,,Leverkusen,0–1,Mainz 05,,,Felix Zwayer,Match Report,
,,,,,,,,,,,
10,Fri,10/29/10,,Bayern Munich,4–2,Freiburg,,,Peter Gagelmann,Match Report,
10,Sat,10/30/10,,Kaiserslautern,3–0,M'Gladbach,,,Florian Meyer,Match Report,
10,Sat,10/30/10,,Köln,3–2,Hamburger SV,,,Babak Rafati,Match Report,
10,Sat,10/30/10,,Werder Bremen,2–3,Nürnberg,,,Christian Dingert,Match Report,
10,Sat,10/30/10,,St. Pauli,1–3,Eint Frankfurt,,,Marco Fritz,Match Report,
10,Sat,10/30/10,,Schalke 04,0–1,Leverkusen,,,Felix Brych,Match Report,
10,Sat,10/30/10,,Wolfsburg,2–0,Stuttgart,,,Markus Wingenbach,Match Report,
10,Sun,10/31/10,,Hoffenheim,4–0,Hannover 96,,,Manuel Gräfe,Match Report,
10,Sun,10/31/10,,Mainz 05,0–2,Dortmund,,,Michael Weiner,Match Report,
,,,,,,,,,,,
11,Fri,11/5/10,,Schalke 04,3–0,St. Pauli,,,Jochen Drees,Match Report,
11,Sat,11/6/10,,Nürnberg,3–1,Köln,,,Markus Schmidt,Match Report,
11,Sat,11/6/10,,Hamburger SV,2–1,Hoffenheim,,,Günter Perl,Match Report,
11,Sat,11/6/10,,M'Gladbach,3–3,Bayern Munich,,,Knut Kircher,Match Report,
11,Sat,11/6/10,,Eint Frankfurt,3–1,Wolfsburg,,,Peter Sippel,Match Report,
11,Sat,11/6/10,,Freiburg,1–0,Mainz 05,,,Wolfgang Stark,Match Report,
11,Sun,11/7/10,,Leverkusen,3–1,Kaiserslautern,,,Guido Winkmann,Match Report,
11,Sun,11/7/10,,Stuttgart,6–0,Werder Bremen,,,Thorsten Kinhöfer,Match Report,
11,Sun,11/7/10,,Hannover 96,0–4,Dortmund,,,Felix Brych,Match Report,
,,,,,,,,,,,
12,Fri,11/12/10,,Dortmund,2–0,Hamburger SV,,,Deniz Aytekin,Match Report,
12,Sat,11/13/10,,Werder Bremen,0–0,Eint Frankfurt,,,Manuel Gräfe,Match Report,
12,Sat,11/13/10,,Wolfsburg,2–2,Schalke 04,,,Wolfgang Stark,Match Report,
12,Sat,11/13/10,,St. Pauli,0–1,Leverkusen,,,Michael Weiner,Match Report,
12,Sat,11/13/10,,Kaiserslautern,3–3,Stuttgart,,,Babak Rafati,Match Report,
12,Sat,11/13/10,,Mainz 05,0–1,Hannover 96,,,Knut Kircher,Match Report,
12,Sat,11/13/10,,Köln,0–4,M'Gladbach,,,Peter Gagelmann,Match Report,
12,Sun,11/14/10,,Bayern Munich,3–0,Nürnberg,,,Thorsten Kinhöfer,Match Report,
12,Sun,11/14/10,,Hoffenheim,0–1,Freiburg,,,Felix Zwayer,Match Report,
,,,,,,,,,,,
13,Sat,11/20/10,,Schalke 04,4–0,Werder Bremen,,,Knut Kircher,Match Report,
13,Sat,11/20/10,,Hannover 96,3–2,Hamburger SV,,,Jochen Drees,Match Report,
13,Sat,11/20/10,,M'Gladbach,2–3,Mainz 05,,,Babak Rafati,Match Report,
13,Sat,11/20/10,,Freiburg,1–2,Dortmund,,,Marco Fritz,Match Report,
13,Sat,11/20/10,,Leverkusen,1–1,Bayern Munich,,,Florian Meyer,Match Report,
13,Sat,11/20/10,,Nürnberg,1–3,Kaiserslautern,,,Tobias Welz,Match Report,
13,Sat,11/20/10,,Eint Frankfurt,0–4,Hoffenheim,,,Markus Wingenbach,Match Report,
13,Sun,11/21/10,,Stuttgart,0–1,Köln,,,Christian Dingert,Match Report,
13,Sun,11/21/10,,St. Pauli,1–1,Wolfsburg,,,Markus Schmidt,Match Report,
,,,,,,,,,,,
14,Fri,11/26/10,,Mainz 05,3–0,Nürnberg,,,Peter Gagelmann,Match Report,
14,Sat,11/27/10,,Kaiserslautern,5–0,Schalke 04,,,Günter Perl,Match Report,
14,Sat,11/27/10,,Hoffenheim,2–2,Leverkusen,,,Thorsten Kinhöfer,Match Report,
14,Sat,11/27/10,,Hannover 96,3–0,Freiburg,,,Peter Sippel,Match Report,
14,Sat,11/27/10,,Dortmund,4–1,M'Gladbach,,,Manuel Gräfe,Match Report,
14,Sat,11/27/10,,Bayern Munich,4–1,Eint Frankfurt,,,Felix Zwayer,Match Report,
14,Sat,11/27/10,,Hamburger SV,4–2,Stuttgart,,,Wolfgang Stark,Match Report,
14,Sun,11/28/10,,Köln,1–1,Wolfsburg,,,Guido Winkmann,Match Report,
14,Sun,11/28/10,,Werder Bremen,3–0,St. Pauli,,,Felix Brych,Match Report,
,,,,,,,,,,,
15,Fri,12/3/10,,St. Pauli,1–0,Kaiserslautern,,,Knut Kircher,Match Report,
15,Sat,12/4/10,,Schalke 04,2–0,Bayern Munich,,,Peter Gagelmann,Match Report,
15,Sat,12/4/10,,Freiburg,1–0,Hamburger SV,,,Tobias Welz,Match Report,
15,Sat,12/4/10,,Stuttgart,1–1,Hoffenheim,,,Jochen Drees,Match Report,
15,Sat,12/4/10,,Wolfsburg,0–0,Werder Bremen,,,Deniz Aytekin,Match Report,
15,Sat,12/4/10,,M'Gladbach,1–2,Hannover 96,,,Marco Fritz,Match Report,
15,Sat,12/4/10,,Eint Frankfurt,2–1,Mainz 05,,,Florian Meyer,Match Report,
15,Sun,12/5/10,,Leverkusen,3–2,Köln,,,Felix Brych,Match Report,
15,Sun,12/5/10,,Nürnberg,0–2,Dortmund,,,Michael Weiner,Match Report,
,,,,,,,,,,,
16,Fri,12/10/10,,Hannover 96,2–1,Stuttgart,,,Manuel Gräfe,Match Report,
16,Sat,12/11/10,,Hamburger SV,2–4,Leverkusen,,,Felix Zwayer,Match Report,
16,Sat,12/11/10,,Hoffenheim,1–1,Nürnberg,,,Marc Seemann,Match Report,
16,Sat,12/11/10,,Köln,1–0,Eint Frankfurt,,,Markus Schmidt,Match Report,
16,Sat,12/11/10,,Dortmund,2–0,Werder Bremen,,,Florian Meyer,Match Report,
16,Sat,12/11/10,,Bayern Munich,3–0,St. Pauli,,,Babak Rafati,Match Report,
16,Sat,12/11/10,,Kaiserslautern,0–0,Wolfsburg,,,Peter Sippel,Match Report,
16,Sun,12/12/10,,Mainz 05,0–1,Schalke 04,,,Felix Brych,Match Report,
16,Sun,12/12/10,,Freiburg,3–0,M'Gladbach,,,Wolfgang Stark,Match Report,
,,,,,,,,,,,
17,Fri,12/17/10,,M'Gladbach,1–2,Hamburger SV,,,Günter Perl,Match Report,
17,Sat,12/18/10,,St. Pauli,2–4,Mainz 05,,,Peter Sippel,Match Report,
17,Sat,12/18/10,,Wolfsburg,2–2,Hoffenheim,,,Knut Kircher,Match Report,
17,Sat,12/18/10,,Eint Frankfurt,1–0,Dortmund,,,Deniz Aytekin,Match Report,
17,Sat,12/18/10,,Werder Bremen,1–2,Kaiserslautern,,,Michael Weiner,Match Report,
17,Sat,12/18/10,,Schalke 04,3–0,Köln,,,Wolfgang Stark,Match Report,
17,Sat,12/18/10,,Nürnberg,3–1,Hannover 96,,,Guido Winkmann,Match Report,
17,Sun,12/19/10,,Leverkusen,2–2,Freiburg,,,Marc Seemann,Match Report,
17,Sun,12/19/10,,Stuttgart,3–5,Bayern Munich,,,Thorsten Kinhöfer,Match Report,
,,,,,,,,,,,
18,Fri,1/14/11,,Leverkusen,1–3,Dortmund,,,Peter Gagelmann,Match Report,
18,Sat,1/15/11,,Nürnberg,0–1,M'Gladbach,,,Babak Rafati,Match Report,
18,Sat,1/15/11,,Schalke 04,0–1,Hamburger SV,,,Knut Kircher,Match Report,
18,Sat,1/15/11,,Werder Bremen,2–1,Hoffenheim,,,Felix Zwayer,Match Report,
18,Sat,1/15/11,,St. Pauli,2–2,Freiburg,,,Markus Wingenbach,Match Report,
18,Sat,1/15/11,,Wolfsburg,1–1,Bayern Munich,,,Manuel Gräfe,Match Report,
18,Sat,1/15/11,,Stuttgart,1–0,Mainz 05,,,Michael Weiner,Match Report,
18,Sun,1/16/11,,Eint Frankfurt,0–3,Hannover 96,,,Thorsten Kinhöfer,Match Report,
18,Sun,1/16/11,,Kaiserslautern,1–1,Köln,,,Guido Winkmann,Match Report,
,,,,,,,,,,,
