Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Mon,9/27/10,,Málaga,2–3,Villarreal,,La Rosaleda,Teixeira Vitienes,Match Report,
,,,,,,,,,,,
6,Sat,10/2/10,,Real Sociedad,1–0,Espanyol,,Anoeta,Turienzo Álvarez,Match Report,
6,Sat,10/2/10,,Valencia,2–1,Athletic Club,,Mestalla,Velasco Carballo,Match Report,
6,Sat,10/2/10,,Zaragoza,2–2,Sporting Gijón,,La Romareda,Ayza Gámez,Match Report,
6,Sun,10/3/10,,Almería,1–1,Málaga,,Juegos del Mediterráneo,Clos Gómez,Match Report,
6,Sun,10/3/10,,Villarreal,2–0,Racing Sant,,El Madrigal,Pérez Lasa,Match Report,
6,Sun,10/3/10,,Real Madrid,6–1,La Coruña,,Santiago Bernabéu,Iturralde González,Match Report,
6,Sun,10/3/10,,Sevilla,3–1,Atlético Madrid,,Ramón Sánchez Pizjuán,Estrada Fernández,Match Report,
6,Sun,10/3/10,,Getafe,3–0,Hércules,,Coliseum Alfonso Pérez,Álvarez Izquierdo,Match Report,
6,Sun,10/3/10,,Osasuna,1–1,Levante,,Reyno de Navarra,Paradas Romero,Match Report,
6,Sun,10/3/10,,Barcelona,1–1,Mallorca,,Nou Camp,Undiano Mallenco,Match Report,
,,,,,,,,,,,
7,Sat,10/16/10,,Atlético Madrid,2–0,Getafe,,Vicente Calderón,Delgado Ferreiro,Match Report,
7,Sat,10/16/10,,Málaga,1–4,Real Madrid,,La Rosaleda,Undiano Mallenco,Match Report,
7,Sat,10/16/10,,Barcelona,2–1,Valencia,,Nou Camp,Teixeira Vitienes,Match Report,
7,Sun,10/17/10,,Mallorca,0–1,Espanyol,,Ono Estadi,Iglesias Villanueva,Match Report,
7,Sun,10/17/10,,Levante,2–1,Real Sociedad,,Ciutat de Valencia,Teixeira Vitienes,Match Report,
7,Sun,10/17/10,,Racing Sant,1–0,Almería,,El Sardinero,Rubinos Pérez,Match Report,
7,Sun,10/17/10,,La Coruña,0–0,Osasuna,,Nuevo Riazor,Pérez Lasa,Match Report,
7,Sun,10/17/10,,Sporting Gijón,2–0,Sevilla,,El Molinón,González González,Match Report,
7,Sun,10/17/10,,Athletic Club,2–1,Zaragoza,,San Mamés,Ramírez Domínguez,Match Report,
7,Mon,10/18/10,,Hércules,2–2,Villarreal,,José Rico Pérez,Muñiz Fernández,Match Report,
,,,,,,,,,,,
8,Sat,10/23/10,,Valencia,1–2,Mallorca,,Mestalla,Álvarez Izquierdo,Match Report,
8,Sat,10/23/10,,Real Madrid,6–1,Racing Sant,,Santiago Bernabéu,Muñiz Fernández,Match Report,
8,Sat,10/23/10,,Zaragoza,0–2,Barcelona,,La Romareda,Pérez Lasa,Match Report,
8,Sun,10/24/10,,Osasuna,3–0,Málaga,,Reyno de Navarra,Ayza Gámez,Match Report,
8,Sun,10/24/10,,Sevilla,4–3,Athletic Club,,Ramón Sánchez Pizjuán,Clos Gómez,Match Report,
8,Sun,10/24/10,,Espanyol,2–1,Levante,,Cornellà -El Prat,Velasco Carballo,Match Report,
8,Sun,10/24/10,,Villarreal,2–0,Atlético Madrid,,El Madrigal,Ramírez Domínguez,Match Report,
8,Sun,10/24/10,,Almería,1–1,Hércules,,Juegos del Mediterráneo,Teixeira Vitienes,Match Report,
8,Sun,10/24/10,,Getafe,3–0,Sporting Gijón,,Coliseum Alfonso Pérez,Mateu Lahoz,Match Report,
8,Mon,10/25/10,,Real Sociedad,3–0,La Coruña,,Anoeta,Paradas Romero,Match Report,
,,,,,,,,,,,
9,Sat,10/30/10,,Valencia,1–1,Zaragoza,,Mestalla,Delgado Ferreiro,Match Report,
9,Sat,10/30/10,,Hércules,1–3,Real Madrid,,José Rico Pérez,Clos Gómez,Match Report,
9,Sat,10/30/10,,Barcelona,5–0,Sevilla,,Nou Camp,Turienzo Álvarez,Match Report,
9,Sun,10/31/10,,Málaga,1–2,Real Sociedad,,La Rosaleda,González González,Match Report,
9,Sun,10/31/10,,Athletic Club,3–0,Getafe,,San Mamés,Estrada Fernández,Match Report,
9,Sun,10/31/10,,Atlético Madrid,1–1,Almería,,Vicente Calderón,Teixeira Vitienes,Match Report,
9,Sun,10/31/10,,Racing Sant,4–1,Osasuna,,El Sardinero,Velasco Carballo,Match Report,
9,Sun,10/31/10,,Sporting Gijón,1–1,Villarreal,,El Molinón,Iglesias Villanueva,Match Report,
9,Sun,10/31/10,,La Coruña,3–0,Espanyol,,Nuevo Riazor,Undiano Mallenco,Match Report,
9,Mon,11/1/10,,Mallorca,2–1,Levante,,Ono Estadi,Muñiz Fernández,Match Report,
,,,,,,,,,,,
10,Sat,11/6/10,,Espanyol,1–0,Málaga,,Cornellà -El Prat,Pérez Lasa,Match Report,
10,Sat,11/6/10,,Real Sociedad,1–0,Racing Sant,,Anoeta,Álvarez Izquierdo,Match Report,
10,Sun,11/7/10,,Villarreal,4–1,Athletic Club,,El Madrigal,Fernández Borbalán,Match Report,
10,Sun,11/7/10,,Levante,1–2,La Coruña,,Ciutat de Valencia,Teixeira Vitienes,Match Report,
10,Sun,11/7/10,,Getafe,1–3,Barcelona,,Coliseum Alfonso Pérez,Ayza Gámez,Match Report,
10,Sun,11/7/10,,Osasuna,3–0,Hércules,,Reyno de Navarra,Rubinos Pérez,Match Report,
10,Sun,11/7/10,,Real Madrid,2–0,Atlético Madrid,,Santiago Bernabéu,Mateu Lahoz,Match Report,
10,Sun,11/7/10,,Almería,1–1,Sporting Gijón,,Juegos del Mediterráneo,Estrada Fernández,Match Report,
10,Sun,11/7/10,,Zaragoza,3–2,Mallorca,,La Romareda,Paradas Romero,Match Report,
10,Mon,11/8/10,,Sevilla,2–0,Valencia,,Ramón Sánchez Pizjuán,Iturralde González,Match Report,
,,,,,,,,,,,
11,Sat,11/13/10,,Athletic Club,1–0,Almería,,San Mamés,Velasco Carballo,Match Report,
11,Sat,11/13/10,,Barcelona,3–1,Villarreal,,Nou Camp,Delgado Ferreiro,Match Report,
11,Sat,11/13/10,,Atlético Madrid,3–0,Osasuna,,Vicente Calderón,González González,Match Report,
11,Sun,11/14/10,,Racing Sant,0–0,Espanyol,,El Sardinero,Ramírez Domínguez,Match Report,
11,Sun,11/14/10,,Valencia,2–0,Getafe,,Mestalla,Clos Gómez,Match Report,
11,Sun,11/14/10,,Zaragoza,1–2,Sevilla,,La Romareda,Muñiz Fernández,Match Report,
11,Sun,11/14/10,,Sporting Gijón,0–1,Real Madrid,,El Molinón,Turienzo Álvarez,Match Report,
11,Sun,11/14/10,,Málaga,1–0,Levante,,La Rosaleda,Iglesias Villanueva,Match Report,
11,Sun,11/14/10,,Mallorca,0–0,La Coruña,,Ono Estadi,Teixeira Vitienes,Match Report,
11,Sun,11/14/10,,Hércules,2–1,Real Sociedad,,José Rico Pérez,Undiano Mallenco,Match Report,
,,,,,,,,,,,
12,Sat,11/20/10,,Almería,0–8,Barcelona,,Juegos del Mediterráneo,Muñiz Fernández,Match Report,
12,Sat,11/20/10,,Real Madrid,5–1,Athletic Club,,Santiago Bernabéu,Undiano Mallenco,Match Report,
12,Sat,11/20/10,,Villarreal,1–1,Valencia,,El Madrigal,Estrada Fernández,Match Report,
12,Sun,11/21/10,,Osasuna,1–0,Sporting Gijón,,Reyno de Navarra,Teixeira Vitienes,Match Report,
12,Sun,11/21/10,,Sevilla,1–2,Mallorca,,Ramón Sánchez Pizjuán,Mateu Lahoz,Match Report,
12,Sun,11/21/10,,La Coruña,3–0,Málaga,,Nuevo Riazor,Álvarez Izquierdo,Match Report,
12,Sun,11/21/10,,Real Sociedad,2–4,Atlético Madrid,,Anoeta,Ayza Gámez,Match Report,
12,Sun,11/21/10,,Espanyol,3–0,Hércules,,Cornellà -El Prat,Paradas Romero,Match Report,
12,Sun,11/21/10,,Levante,3–1,Racing Sant,,Ciutat de Valencia,Fernández Borbalán,Match Report,
12,Mon,11/22/10,,Getafe,1–1,Zaragoza,,Coliseum Alfonso Pérez,Teixeira Vitienes,Match Report,
,,,,,,,,,,,
13,Sat,11/27/10,,Zaragoza,0–3,Villarreal,,La Romareda,Velasco Carballo,Match Report,
13,Sat,11/27/10,,Atlético Madrid,2–3,Espanyol,,Vicente Calderón,Teixeira Vitienes,Match Report,
13,Sat,11/27/10,,Sevilla,1–3,Getafe,,Ramón Sánchez Pizjuán,González González,Match Report,
13,Sun,11/28/10,,Valencia,2–1,Almería,,Mestalla,Turienzo Álvarez,Match Report,
13,Sun,11/28/10,,Mallorca,2–0,Málaga,,Ono Estadi,Delgado Ferreiro,Match Report,
13,Sun,11/28/10,,Hércules,3–1,Levante,,José Rico Pérez,Estrada Fernández,Match Report,
13,Sun,11/28/10,,Sporting Gijón,1–3,Real Sociedad,,El Molinón,Paradas Romero,Match Report,
13,Sun,11/28/10,,Racing Sant,1–0,La Coruña,,El Sardinero,Clos Gómez,Match Report,
13,Sun,11/28/10,,Athletic Club,1–0,Osasuna,,San Mamés,Iglesias Villanueva,Match Report,
13,Mon,11/29/10,,Barcelona,5–0,Real Madrid,,Nou Camp,Iturralde González,Match Report,
,,,,,,,,,,,
14,Sat,12/4/10,,Osasuna,0–3,Barcelona,,Reyno de Navarra,Teixeira Vitienes,Match Report,
14,Sat,12/4/10,,Real Madrid,2–0,Valencia,,Santiago Bernabéu,Pérez Lasa,Match Report,
14,Sat,12/4/10,,Levante,2–0,Atlético Madrid,,Ciutat de Valencia,Álvarez Izquierdo,Match Report,
14,Sun,12/5/10,,Real Sociedad,2–0,Athletic Club,,Anoeta,Ramírez Domínguez,Match Report,
14,Sun,12/5/10,,Villarreal,1–0,Sevilla,,El Madrigal,Undiano Mallenco,Match Report,
14,Sun,12/5/10,,Getafe,3–0,Mallorca,,Coliseum Alfonso Pérez,Muñiz Fernández,Match Report,
14,Sun,12/5/10,,Espanyol,1–0,Sporting Gijón,,Cornellà -El Prat,Iglesias Villanueva,Match Report,
14,Sun,12/5/10,,Málaga,4–1,Racing Sant,,La Rosaleda,Mateu Lahoz,Match Report,
14,Sun,12/5/10,,Almería,1–1,Zaragoza,,Juegos del Mediterráneo,Ayza Gámez,Match Report,
14,Mon,12/6/10,,La Coruña,1–0,Hércules,,Nuevo Riazor,Fernández Borbalán,Match Report,
,,,,,,,,,,,
15,Sat,12/11/10,,Sevilla,1–3,Almería,,Ramón Sánchez Pizjuán,Teixeira Vitienes,Match Report,
