Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,2010-09-18,,Groningen,2–0,Excelsior,,Euroborg,Serdar Gözübüyük,Match Report,
6,Sat,2010-09-18,,Vitesse,0–0,NAC Breda,,GelreDome,Pieter Vink,Match Report,
6,Sun,2010-09-19,,Heracles Almelo,0–0,Twente,,Polman Stadion,Eric Braamhaar,Match Report,
6,Sun,2010-09-19,,Feyenoord,1–2,Ajax,,De Kuip,Kevin Blom,Match Report,
6,Sun,2010-09-19,,Utrecht,3–2,VVV-Venlo,,Galgenwaard,Luc Wouters,Match Report,
6,Sun,2010-09-19,,Roda JC,0–0,PSV Eindhoven,,Parkstad Limburg Stadion,Richard Liesveld,Match Report,
6,Sun,2010-09-19,,NEC Nijmegen,0–1,AZ Alkmaar,,Goffertstadion,Reinold Wiedemeijer,Match Report,

7,Sat,2010-09-25,,ADO Den Haag,3–2,Heracles Almelo,,Kyocera Stadium,Ed Janssen,Match Report,
7,Sat,2010-09-25,,PSV Eindhoven,1–1,Groningen,,Philips Stadion,Jack van Hulten,Match Report,
7,Sat,2010-09-25,,AZ Alkmaar,1–0,Utrecht,,AFAS Stadion,Bas Nijhuis,Match Report,
7,Sat,2010-09-25,,Twente,2–2,Ajax,,De Grolsch Veste,Pieter Vink,Match Report,
7,Sat,2010-09-25,,Heerenveen,2–2,Roda JC,,Abe Lenstra stadion,Kevin Blom,Match Report,
7,Sun,2010-09-26,,Excelsior,0–2,Vitesse,,Stadion Woudestein,Johan Verbist,Match Report,
7,Sun,2010-09-26,,NAC Breda,2–1,Willem II,,Rat Verlegh Stadion,Eric Braamhaar,Match Report,
7,Sun,2010-09-26,,VVV-Venlo,1–0,De Graafschap,,Seacon Stadion - De Koel -,Michel Winter,Match Report,
7,Sun,2010-09-26,,NEC Nijmegen,3–0,Feyenoord,,Goffertstadion,Björn Kuipers,Match Report,

8,Fri,2010-10-01,,Vitesse,0–0,Willem II,,GelreDome,Jack van Hulten,Match Report,
8,Sat,2010-10-02,,NAC Breda,2–0,NEC Nijmegen,,Rat Verlegh Stadion,Bas Nijhuis,Match Report,
8,Sat,2010-10-02,,Excelsior,1–2,Roda JC,,Stadion Woudestein,Jeroen Sanders,Match Report,
8,Sun,2010-10-03,,De Graafschap,1–1,Feyenoord,,De Vijverberg,Eric Braamhaar,Match Report,
8,Sun,2010-10-03,,Ajax,1–2,Utrecht,,Amsterdam ArenA,Björn Kuipers,Match Report,
8,Sun,2010-10-03,,AZ Alkmaar,2–1,Heracles Almelo,,AFAS Stadion,Jan Wegereef,Match Report,
8,Sun,2010-10-03,,Twente,4–2,Groningen,,De Grolsch Veste,Kevin Blom,Match Report,
8,Sun,2010-10-03,,Heerenveen,0–0,ADO Den Haag,,Abe Lenstra stadion,Tom van Sichem,Match Report,
8,Sun,2010-10-03,,PSV Eindhoven,3–0,VVV-Venlo,,Philips Stadion,Ruud Bossen,Match Report,

9,Sat,2010-10-16,,ADO Den Haag,2–1,Excelsior,,Kyocera Stadium,Reinold Wiedemeijer,Match Report,
9,Sat,2010-10-16,,Feyenoord,0–1,Twente,,De Kuip,Ruud Bossen,Match Report,
9,Sat,2010-10-16,,VVV-Venlo,0–1,AZ Alkmaar,,Seacon Stadion - De Koel -,Serge Gumienny,Match Report,
9,Sat,2010-10-16,,Ajax,3–0,NAC Breda,,Amsterdam ArenA,Ed Janssen,Match Report,
9,Sat,2010-10-16,,Utrecht,2–2,De Graafschap,,Galgenwaard,Serdar Gözübüyük,Match Report,
9,Sun,2010-10-17,,Roda JC,4–1,Vitesse,,Parkstad Limburg Stadion,Ben Haverkort,Match Report,
9,Sun,2010-10-17,,Willem II,2–4,PSV Eindhoven,,Koning Willem II Stadion,Tom van Sichem,Match Report,
9,Sun,2010-10-17,,Groningen,1–0,Heerenveen,,Euroborg,Pol van Boekel,Match Report,
9,Sun,2010-10-17,,Heracles Almelo,3–2,NEC Nijmegen,,Polman Stadion,Richard Liesveld,Match Report,

10,Fri,2010-10-22,,NAC Breda,1–2,Roda JC,,Rat Verlegh Stadion,Richard Liesveld,Match Report,
10,Sat,2010-10-23,,Heerenveen,2–0,VVV-Venlo,,Abe Lenstra stadion,Jeroen Sanders,Match Report,
10,Sat,2010-10-23,,De Graafschap,1–1,Heracles Almelo,,De Vijverberg,Pieter Vink,Match Report,
10,Sat,2010-10-23,,NEC Nijmegen,3–2,Groningen,,Goffertstadion,Danny Makkelie,Match Report,
10,Sun,2010-10-24,,Excelsior,2–2,Ajax,,Stadion Woudestein,Jan Wegereef,Match Report,
