Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2010-09-26,,União de Leiria,1–0,Rio Ave,,Estádio Dr. Magalhães Pessoa ,Pedro Proença,Match Report,
6,Mon,2010-09-27,,Vitória Setúbal,1–0,Paços,,Estádio do Bonfim ,Hugo Pacheco,Match Report,

7,Fri,2010-10-01,,União de Leiria,2–1,Académica,,Estádio Dr. Magalhães Pessoa ,Elmano Santos,Match Report,
7,Sat,2010-10-02,,Olhanense,3–1,Vitória Setúbal,,Estádio José Arcanjo ,Cosme Machado,Match Report,
7,Sun,2010-10-03,,Naval,1–2,Paços,,Estádio Municipal José Bento Pessoa ,Rui Silva,Match Report,
7,Sun,2010-10-03,,Rio Ave,0–0,Marítimo,,Estádio do Rio Ave Futebol Clube ,João Ferreira,Match Report,
7,Sun,2010-10-03,,Nacional,3–1,Portimonense,,Estádio da Madeira ,André Gralha,Match Report,
7,Sun,2010-10-03,,Benfica,1–0,Braga,,Estádio do Sport Lisboa e Benfica ,Duarte Gomes,Match Report,
7,Mon,2010-10-04,,Vitória,1–1,Porto,,Estádio Dom Afonso Henriques ,Carlos Xistra,Match Report,
7,Mon,2010-10-04,,Beira-Mar,1–1,Sporting CP,,Estádio Municipal de Aveiro ,Paulo Baptista,Match Report,

8,Sat,2010-10-23,,Vitória Setúbal,2–1,Vitória,,Estádio do Bonfim ,Pedro Proença,Match Report,
8,Sat,2010-10-23,,Académica,2–1,Nacional,,Estádio EFAPEL ,Paulo Baptista,Match Report,
8,Sat,2010-10-23,,Paços,1–1,Beira-Mar,,Estádio da Capital do Móvel ,Hélder Malheiro,Match Report,
8,Sat,2010-10-23,,Braga,3–1,Olhanense,,Estádio Municipal de Braga ,Artur Soares Dias,Match Report,
8,Sun,2010-10-24,,Marítimo,1–0,Naval,,Estádio dos Barreiros ,Rui Costa,Match Report,
8,Sun,2010-10-24,,Portimonense,0–1,Benfica,,Estádio Do Algarve ,Hugo Miguel,Match Report,
8,Sun,2010-10-24,,Sporting CP,1–0,Rio Ave,,Estádio José Alvalade ,Olegário Benquerença,Match Report,
8,Mon,2010-10-25,,Porto,5–1,União de Leiria,,Estádio Do Dragão ,Vasco Santos,Match Report,

9,Fri,2010-10-29,,Benfica,2–0,Paços,,Estádio do Sport Lisboa e Benfica ,Bruno Esteves,Match Report,
9,Sat,2010-10-30,,Académica,0–1,Porto,,Estádio EFAPEL ,Duarte Gomes,Match Report,
9,Sat,2010-10-30,,Rio Ave,2–0,Braga,,Estádio do Rio Ave Futebol Clube ,João Capela,Match Report,
9,Sun,2010-10-31,,Olhanense,1–1,Marítimo,,Estádio José Arcanjo ,Bruno Paixão,Match Report,
9,Sun,2010-10-31,,União de Leiria,1–2,Sporting CP,,Estádio Dr. Magalhães Pessoa ,João Ferreira,Match Report,
9,Sun,2010-10-31,,Nacional,1–0,Vitória Setúbal,,Estádio da Madeira ,Luís Catita,Match Report,
9,Sun,2010-10-31,,Beira-Mar,3–1,Naval,,Estádio Municipal de Aveiro ,Jorge Ferreira,Match Report,
9,Mon,2010-11-01,,Vitória,2–0,Portimonense,,Estádio Dom Afonso Henriques ,Vasco Santos,Match Report,

10,Fri,2010-11-05,,Vitória Setúbal,3–3,Rio Ave,,Estádio do Bonfim ,Paulo Baptista,Match Report,
10,Sat,2010-11-06,,Portimonense,2–2,Académica,,Estádio do Portimonense SC ,Hugo Pacheco,Match Report,
10,Sat,2010-11-06,,Paços,0–1,Nacional,,Estádio da Capital do Móvel ,Olegário Benquerença,Match Report,
10,Sun,2010-11-07,,Naval,1–1,Olhanense,,Estádio Municipal José Bento Pessoa ,Diogo Santos,Match Report,
10,Sun,2010-11-07,,Porto,5–0,Benfica,,Estádio Do Dragão ,Pedro Proença,Match Report,
10,Sun,2010-11-07,,Braga,2–3,Beira-Mar,,Estádio Municipal de Braga ,Jorge Sousa,Match Report,
10,Sun,2010-11-07,,Marítimo,1–1,União de Leiria,,Estádio dos Barreiros ,Manuel Mota,Match Report,
10,Mon,2010-11-08,,Sporting CP,2–3,Vitória,,Estádio José Alvalade ,Elmano Santos,Match Report,

11,Fri,2010-11-12,,Nacional,0–0,Marítimo,,Estádio da Madeira ,Duarte Gomes,Match Report,
11,Sat,2010-11-13,,Académica,1–2,Sporting CP,,Estádio EFAPEL ,Artur Soares Dias,Match Report,
11,Sat,2010-11-13,,Vitória,2–1,Braga,,Estádio Dom Afonso Henriques ,João Ferreira,Match Report,
11,Sun,2010-11-14,,Olhanense,1–1,Beira-Mar,,Estádio José Arcanjo ,Luís Catita,Match Report,
11,Sun,2010-11-14,,União de Leiria,1–0,Vitória Setúbal,,Estádio Dr. Magalhães Pessoa ,Rui Costa,Match Report,
11,Sun,2010-11-14,,Rio Ave,3–1,Paços,,Estádio do Rio Ave Futebol Clube ,Carlos Xistra,Match Report,
11,Sun,2010-11-14,,Porto,2–0,Portimonense,,Estádio Do Dragão ,João Capela,Match Report,
11,Sun,2010-11-14,,Benfica,4–0,Naval,,Estádio do Sport Lisboa e Benfica ,Vasco Santos,Match Report,

12,Fri,2010-11-26,,Vitória Setúbal,0–1,Académica,,Estádio do Bonfim ,Hélder Malheiro,Match Report,
12,Sat,2010-11-27,,Sporting CP,1–1,Porto,,Estádio José Alvalade ,Jorge Sousa,Match Report,
12,Sat,2010-11-27,,Marítimo,2–0,Vitória,,Estádio dos Barreiros ,Carlos Xistra,Match Report,
12,Sat,2010-11-27,,Paços,1–0,Olhanense,,Estádio da Capital do Móvel ,Hugo Miguel,Match Report,
12,Sun,2010-11-28,,Naval,0–1,Rio Ave,,Estádio Municipal José Bento Pessoa ,Duarte Gomes,Match Report,
12,Sun,2010-11-28,,Beira-Mar,1–3,Benfica,,Estádio Municipal de Aveiro ,Bruno Paixão,Match Report,
12,Sun,2010-11-28,,Braga,2–0,Nacional,,Estádio Municipal de Braga ,Pedro Proença,Match Report,
12,Mon,2010-11-29,,Portimonense,1–2,União de Leiria,,Estádio do Portimonense SC ,Rui Silva,Match Report,

13,Fri,2010-12-03,,Benfica,2–0,Olhanense,,Estádio do Sport Lisboa e Benfica ,Marco Ferreira,Match Report,
